id,prenotazione_id,riga,colonna
127,64,18,10
128,64,7,6
129,65,14,6
130,66,18,2
131,66,3,3
132,66,11,6
133,67,9,9
134,67,6,8
135,68,13,9
136,68,13,8
137,69,18,7
138,69,18,5
139,70,12,7
140,70,1,5
141,71,2,3
142,72,17,6
143,72,3,5
144,72,9,10
145,72,4,7
146,73,12,9
147,74,17,8
148,74,4,8
149,75,9,1
150,75,8,2
151,75,13,4
152,76,14,10
153,76,18,4
154,76,1,8
155,77,5,6
156,78,18,1
157,79,17,5
158,80,16,3
159,81,15,6
160,81,5,8
161,82,15,3
162,82,16,1
163,82,18,3
164,82,2,5
165,83,9,4
166,83,12,2
167,84,4,1
168,85,17,2
169,86,11,2
170,87,3,6
171,87,4,2
172,87,11,4
173,88,14,7
174,88,1,9
175,88,13,7
176,88,5,5
177,89,10,7
178,89,16,9
179,89,1,3
180,90,16,10
181,90,12,8
182,91,4,3
183,92,6,4
184,93,16,4
185,94,10,5
186,94,13,1
187,94,10,4
188,94,6,9
189,95,3,8
190,95,5,2
191,96,5,9
192,96,4,4
193,97,1,7
194,98,3,4
195,98,17,3
196,98,2,8
197,98,15,9
198,99,9,3
199,99,2,1
200,100,11,9
201,100,15,5
202,101,9,1
203,101,12,8
204,101,1,9
205,102,8,7
206,102,14,5
207,103,14,8
208,103,3,3
209,104,15,10
210,104,13,6
211,104,3,7
212,105,8,9
213,105,6,2
214,105,13,10
215,105,10,7
216,106,5,7
217,106,3,6
218,106,16,5
219,106,7,7
220,107,4,6
221,107,4,3
222,108,10,10
223,108,14,6
224,109,15,4
225,109,6,4
226,109,9,2
227,109,16,9
228,110,8,4
229,111,10,7
230,111,6,5
231,111,3,8
232,112,10,8
233,112,12,8
234,112,9,7
235,113,9,5
236,114,1,1
237,115,12,6
238,116,12,1
239,117,10,9
240,117,12,3
241,118,2,1
242,118,10,1
243,118,4,1
244,118,10,10
245,119,12,4
246,119,9,9
247,120,6,8
248,121,8,8
249,121,8,6
250,121,4,7
251,121,12,10
252,122,5,3
253,122,4,9
254,123,9,10
255,123,7,4
256,124,8,10
257,124,7,7
258,125,9,2
259,126,9,4
260,126,11,6
261,126,3,4
262,127,6,2
263,127,3,5
264,127,5,6
265,128,10,2
266,129,8,3
267,129,1,7
268,129,8,9
269,130,4,2
270,131,5,10
271,131,8,7
272,132,1,3
273,132,1,9
274,132,1,8
275,132,3,7
276,133,6,6
277,133,2,10
278,134,5,5
279,134,7,6
280,135,6,3
281,136,5,1
282,136,11,9
283,137,11,2
284,137,9,6
285,137,7,3
286,137,3,1
287,138,4,6
288,138,10,3
289,139,11,10
290,140,8,5
291,140,5,7
292,141,7,5
293,141,11,7
294,141,5,10
295,142,6,6
296,142,4,7
297,143,11,10
298,143,2,7
299,144,9,8
300,144,3,2
301,145,9,6
302,145,8,1
303,145,7,4
304,146,1,2
305,146,11,3
306,147,5,6
307,148,6,3
308,149,2,3
309,150,3,10
310,150,7,2
311,150,7,9
312,151,2,6
313,151,10,2
314,151,12,1
315,152,12,2
316,152,1,10
317,152,9,2
318,152,4,1
319,153,1,5
320,153,3,5
321,154,5,1
322,155,7,10
323,155,11,1
324,156,11,2
325,156,11,8
326,156,3,6
327,156,12,3
328,157,1,3
329,157,7,6
330,157,4,4
331,158,6,7
332,158,4,8
333,158,7,3
334,158,9,1
335,159,6,1
336,160,6,8
337,161,3,3
338,162,1,8
339,162,4,3
340,162,8,6
341,162,12,8
342,163,7,1
343,163,3,7
344,163,6,10
345,164,4,9
346,164,4,2
347,165,8,7
348,165,5,3
349,165,12,6
350,165,2,8
351,166,1,6
352,166,9,4
353,166,7,7
354,167,10,10
355,167,2,10
356,167,1,7
357,168,9,7
358,168,1,1
359,169,1,4
360,169,1,6
361,169,2,4
362,170,1,2
363,171,3,1
364,171,6,4
365,172,3,3
366,172,4,7
367,173,5,6
368,173,8,8
369,173,3,10
370,174,6,6
371,175,6,10
372,175,9,8
373,176,7,5
374,176,4,8
375,177,6,3
376,177,7,3
377,178,4,6
378,179,9,1
379,179,2,8
380,179,1,8
381,180,4,1
382,180,3,6
383,181,6,2
384,181,5,1
385,181,7,4
386,182,2,10
387,182,6,9
388,182,2,6
389,183,8,1
390,183,3,7
391,183,8,4
392,183,3,9
393,184,5,2
394,184,8,3
395,185,8,10
396,185,6,7
397,185,3,5
398,185,4,9
399,186,6,8
400,186,7,7
401,186,3,2
402,187,8,6
403,188,3,7
404,188,1,1
405,189,7,5
406,190,4,4
407,190,8,4
408,190,5,7
409,191,6,8
410,192,1,7
411,193,4,10
412,193,4,6
413,194,7,6
414,195,3,10
415,196,8,6
416,196,2,5
417,197,1,2
418,197,2,1
419,197,1,10
420,197,5,1
421,198,8,7
422,198,8,2
423,198,6,2
424,199,6,4
425,199,9,2
426,200,4,9
427,200,9,10
428,201,7,8
429,202,8,1
430,202,4,7
431,202,6,6
432,202,2,6
433,203,9,4
434,203,4,2
435,203,2,2
436,203,8,9
437,204,3,5
438,204,3,9
439,205,6,5
440,205,3,8
441,205,8,10
442,205,1,8
443,206,7,9
444,207,3,2
445,207,9,9
446,208,1,4
447,208,8,3
448,209,2,9
449,210,7,1
450,210,5,2
451,211,5,9
452,211,7,7
453,211,2,7
454,212,2,2
455,212,1,1
456,212,4,1
457,213,1,5
458,213,6,9
459,214,3,3
460,214,3,5
461,215,5,7
462,216,2,9
463,216,4,4
464,216,7,1
465,217,1,4
466,217,6,5
467,217,9,1
468,218,1,7
469,219,6,7
470,220,5,4
471,220,6,3
472,221,5,9
473,221,2,5
474,222,3,6
475,223,7,3
476,223,5,6
477,224,8,7
478,224,9,3
479,224,3,8
480,225,3,10
481,225,5,8
482,226,9,8
483,226,9,4
484,226,7,9
485,227,4,2
486,227,7,8
487,228,3,7
488,229,2,4
489,230,8,10
490,230,6,2
491,231,9,9
492,231,6,4
493,231,1,2
494,232,1,3
495,232,7,6
496,233,8,2
497,233,8,3
498,234,8,9
499,234,5,3
500,234,6,1
501,234,9,10
502,235,5,10
503,235,4,8
504,236,8,8
505,236,7,10
506,236,7,4
507,237,1,1
508,237,5,4
509,238,6,2
510,238,5,2
511,239,5,6
512,239,10,1
513,240,8,4
514,240,4,4
515,241,4,1
516,242,2,6
517,242,9,4
518,243,2,3
519,244,9,1
520,244,8,2
521,245,8,3
522,246,10,2
523,246,7,4
524,247,5,2
525,247,2,4
526,248,6,2
527,248,5,5
528,248,3,5
529,249,7,3
530,249,7,1
531,250,5,4
532,251,7,6
533,251,1,5
534,252,2,6
535,252,9,4
536,253,4,2
537,254,18,6
538,254,7,5
539,254,11,6
540,254,16,2
541,255,2,2
542,256,12,3
543,257,10,8
544,257,17,5
545,258,4,8
546,258,11,9
547,258,14,2
548,259,18,10
549,260,4,4
550,260,7,2
551,261,16,4
552,261,18,7
553,262,18,2
554,263,5,6
555,263,7,7
556,263,4,6
557,263,3,5
558,264,3,2
559,264,15,7
560,265,11,10
561,266,14,7
562,266,2,9
563,267,10,4
564,268,11,3
565,268,16,5
566,269,7,3
567,269,11,8
568,270,10,9
569,271,8,7
570,271,12,9
571,272,18,4
572,273,5,2
573,274,3,6
574,274,17,9
575,275,9,9
576,275,1,4
577,276,5,4
578,276,8,4
579,276,8,8
580,276,8,1
581,277,1,7
582,277,10,7
583,278,2,4
584,278,18,3
585,279,1,2
586,280,5,10
587,280,13,8
588,280,3,7
589,281,14,10
590,282,15,3
591,283,16,7
592,284,10,10
593,284,17,10
594,285,5,7
595,285,17,6
596,285,10,1
597,286,2,3
598,287,9,2
599,287,16,9
600,287,9,1
601,288,13,4
602,288,4,2
603,288,15,9
604,289,9,5
605,290,12,2
606,291,18,8
607,291,14,9
608,292,15,2
609,292,12,1
610,293,15,6
611,293,13,7
612,294,7,8
613,294,16,1
614,294,7,9
615,294,3,3
616,295,15,4
617,295,12,8
618,296,12,6
619,296,11,1
620,296,2,1
621,296,9,6
622,297,9,8
623,297,6,8
624,298,5,9
625,298,5,8
626,298,13,5
627,299,10,2
628,299,9,3
629,299,2,8
630,299,14,1
631,300,14,3
632,301,4,7
633,301,1,5
634,301,7,1
635,301,11,2
636,302,13,2
637,303,7,10
638,303,1,9
639,304,9,10
640,305,5,5
641,305,6,5
642,305,1,6
643,306,1,10
644,306,8,5
645,306,3,8
646,307,1,4
647,307,7,6
648,307,14,9
649,307,16,7
650,308,14,7
651,308,15,3
652,309,13,8
653,309,18,7
654,309,11,7
655,310,15,7
656,310,18,5
657,310,1,6
658,311,8,3
659,311,16,4
660,311,9,7
661,311,13,10
662,312,2,7
663,313,6,8
664,314,6,2
665,314,2,5
666,315,1,3
667,315,5,4
668,316,13,5
669,316,14,4
670,316,4,1
671,316,10,5
672,317,10,6
673,317,17,4
674,317,18,10
675,317,14,1
676,318,14,5
677,319,6,5
678,319,13,9
679,319,1,5
680,320,8,10
681,320,3,9
682,321,15,5
683,322,3,10
684,323,12,7
685,323,12,9
686,324,17,9
687,324,10,9
688,325,17,5
689,326,2,3
690,326,17,2
691,327,17,8
692,327,17,1
693,328,7,1
694,328,7,8
695,329,3,5
696,329,18,6
697,330,2,6
698,330,8,5
699,330,4,7
700,330,9,6
701,331,5,1
702,332,5,5
703,332,14,3
704,333,16,10
705,333,7,3
706,333,7,5
707,334,13,4
708,334,3,1
709,335,9,10
710,335,9,5
711,335,12,10
712,335,9,3
713,336,8,8
714,336,10,4
715,337,11,10
716,337,6,7
717,338,11,8
718,338,11,4
719,339,5,3
720,339,6,1
721,339,1,1
722,340,10,1
723,340,17,10
724,341,18,9
725,342,17,7
726,343,18,8
727,343,14,10
728,344,13,2
729,345,3,9
730,346,10,1
731,346,13,6
732,346,12,8
733,346,7,5
734,347,12,4
735,348,18,2
736,348,14,4
737,349,18,8
738,350,14,1
739,350,9,5
740,350,3,10
741,351,8,6
742,351,4,9
743,351,1,2
744,351,12,10
745,352,5,7
746,352,8,8
747,353,1,8
748,353,13,2
749,353,7,10
750,353,14,3
751,354,18,3
752,355,17,9
753,355,10,3
754,355,17,4
755,355,4,10
756,356,13,10
757,356,4,2
758,357,3,2
759,357,10,8
760,358,11,7
761,359,17,1
762,360,1,5
763,360,17,2
764,361,2,4
765,361,12,1
766,361,11,3
767,361,5,10
768,362,9,7
769,362,2,5
770,362,12,9
771,363,5,1
772,363,10,5
773,363,1,4
774,364,6,10
775,364,16,2
776,365,16,5
777,365,12,2
778,365,13,1
779,365,8,9
780,366,3,4
781,367,7,2
782,367,8,10
783,368,2,8
784,368,18,4
785,368,18,7
786,368,2,10
787,369,9,4
788,369,17,6
789,369,10,2
790,369,7,7
791,370,5,5
792,370,3,6
793,371,9,8
794,372,17,7
795,373,15,7
796,373,6,7
797,374,3,1
798,375,12,2
799,375,2,8
800,376,4,4
801,376,3,6
802,377,5,9
803,377,8,2
804,377,1,4
805,378,4,6
806,378,7,9
807,379,12,1
808,380,2,1
809,381,3,8
810,381,9,10
811,381,12,7
812,381,5,5
813,382,6,5
814,382,9,3
815,383,8,7
816,383,8,10
817,384,4,1
818,385,6,3
819,385,5,3
820,385,1,3
821,385,7,10
822,386,4,9
823,387,10,1
824,388,11,2
825,388,5,6
826,388,10,4
827,388,12,8
828,389,2,7
829,390,11,9
830,390,8,6
831,390,6,7
832,390,3,5
833,391,6,8
834,391,12,4
835,392,5,4
836,392,8,5
837,392,6,6
838,393,11,5
839,394,12,6
840,395,3,7
841,396,7,3
842,396,9,1
843,396,9,9
844,396,9,2
845,397,11,3
846,398,10,6
847,399,9,5
848,399,4,8
849,399,7,2
850,399,11,4
851,400,8,8
852,400,12,5
853,400,8,9
854,400,11,6
855,401,6,1
856,401,7,8
857,401,2,9
858,402,2,3
859,403,3,4
860,403,11,1
861,404,6,9
862,404,2,2
863,404,9,6
864,405,4,10
865,405,4,7
866,405,6,10
867,405,1,9
868,406,6,2
869,407,10,7
870,408,7,7
871,408,11,7
872,408,10,2
873,408,1,7
874,409,7,5
875,409,2,6
876,410,3,8
877,411,12,4
878,412,7,9
879,412,7,1
880,412,4,4
881,413,3,7
882,413,10,9
883,413,12,8
884,413,11,6
885,414,4,5
886,415,11,5
887,415,6,7
888,415,8,5
889,416,4,1
890,416,2,10
891,416,7,6
892,416,9,7
893,417,4,6
894,417,2,4
895,418,9,2
896,419,10,8
897,419,1,2
898,419,4,3
899,419,3,4
900,420,1,4
901,421,8,2
902,421,6,2
903,422,6,3
904,422,9,1
905,423,10,1
906,423,6,9
907,423,10,6
908,424,6,10
909,425,9,5
910,425,8,10
911,426,1,6
912,427,10,9
913,428,3,9
914,428,7,2
915,429,8,9
916,430,12,5
917,430,5,3
918,430,5,4
919,430,1,4
920,431,3,1
921,431,9,2
922,431,4,3
923,432,2,5
924,433,7,6
925,433,3,4
926,434,2,4
927,434,8,2
928,435,1,1
929,436,10,3
930,437,12,1
931,437,12,9
932,438,10,8
933,438,12,3
934,438,8,7
935,438,12,7
936,439,7,4
937,440,2,3
938,441,10,1
939,441,9,3
940,441,12,2
941,441,2,10
942,442,10,4
943,442,8,5
944,443,2,8
945,444,12,6
946,444,1,3
947,444,10,10
948,444,5,6
949,445,4,2
950,445,9,1
951,446,11,3
952,446,8,8
953,446,9,4
954,446,4,5
955,447,9,10
956,448,5,7
957,448,6,2
958,448,5,8
959,448,1,7
960,449,5,9
961,450,9,5
962,450,6,10
963,451,4,7
964,451,11,7
965,451,1,10
966,451,6,7
967,452,11,10
968,453,3,7
969,453,7,3
970,453,8,3
971,454,4,5
972,454,1,9
973,454,6,9
974,454,4,2
975,455,2,2
976,456,5,5
977,457,4,6
978,458,8,3
979,459,1,10
980,460,1,1
981,461,6,6
982,461,3,1
983,461,9,5
984,461,9,3
985,462,2,8
986,462,2,6
987,463,9,5
988,463,7,6
989,464,6,9
990,465,8,8
991,465,6,1
992,466,8,5
993,467,9,10
994,467,7,8
995,468,7,1
996,468,3,6
997,469,3,1
998,469,9,2
999,470,3,4
1000,470,9,7
1001,471,1,4
1002,472,2,1
1003,472,4,7
1004,473,9,4
1005,473,8,7
1006,474,6,5
1007,475,1,2
1008,476,1,6
1009,476,7,4
1010,477,6,6
1011,477,3,3
1012,478,2,2
1013,478,4,5
1014,478,6,10
1015,478,6,3
1016,479,5,2
1017,479,7,3
1018,480,8,10
1019,481,2,3
1020,481,4,2
1021,482,8,9
1022,483,8,9
1023,483,2,6
1024,484,1,9
1025,485,9,6
1026,485,4,7
1027,485,6,6
1028,486,3,8
1029,486,3,3
1030,486,1,5
1031,487,5,6
1032,487,7,8
1033,487,2,3
1034,488,2,9
1035,488,6,4
1036,488,6,5
1037,489,5,10
1038,489,8,6
1039,490,5,4
1040,490,5,5
1041,491,2,7
1042,492,2,8
1043,493,9,9
1044,493,9,2
1045,493,7,6
1046,493,7,10
1047,494,6,1
1048,494,7,2
1049,495,4,5
1050,496,3,5
1051,496,4,4
1052,497,4,8
1053,498,8,5
1054,498,8,3
1055,498,8,4
1056,498,6,10
1057,499,5,7
1058,499,2,5
1059,499,1,4
1060,500,3,4
1061,500,9,4
1062,500,3,10
1063,500,7,9
1064,501,2,4
1065,501,8,2
1066,502,4,3
1067,502,2,10
1068,503,5,1
1069,503,4,10
1070,504,4,9
1071,504,1,6
1072,505,1,6
1073,505,10,3
1074,506,1,5
1075,507,8,3
1076,507,6,2
1077,507,7,5
1078,507,6,4
1079,508,4,4
1080,508,2,3
1081,508,3,1
1082,509,10,4
1083,510,7,6
1084,511,8,2
1085,511,6,2
1086,511,2,1
1087,512,5,1
1088,513,10,4
1089,513,8,6
1090,513,1,2
1091,513,8,3
1092,514,9,4
1093,515,10,2
1094,516,5,6
1095,516,10,6
1096,516,4,3
1097,517,2,6
1098,518,7,4
1099,518,3,10
1100,519,15,8
1101,519,14,5
1102,520,12,1
1103,520,12,10
1104,520,6,3
1105,520,6,2
1106,521,7,1
1107,521,9,8
1108,522,17,7
1109,522,3,7
1110,522,1,4
1111,523,15,1
1112,523,12,2
1113,523,3,1
1114,524,13,8
1115,524,4,4
1116,525,6,9
1117,525,18,2
1118,526,6,1
1119,526,13,3
1120,527,5,5
1121,528,7,7
1122,528,7,5
1123,528,17,10
1124,528,9,10
1125,529,8,2
1126,529,16,8
1127,530,7,6
1128,531,16,7
1129,531,12,8
1130,532,10,5
1131,533,5,9
1132,534,15,6
1133,534,2,4
1134,534,11,4
1135,534,15,7
1136,535,12,6
1137,536,5,4
1138,536,17,8
1139,536,14,2
1140,537,16,1
1141,537,10,9
1142,537,1,5
1143,537,8,4
1144,538,7,9
1145,539,16,10
1146,540,10,4
1147,540,16,3
1148,540,10,1
1149,541,7,8
1150,541,1,6
1151,541,4,9
1152,542,13,10
1153,542,18,1
1154,543,12,7
1155,543,7,10
1156,544,17,9
1157,544,9,2
1158,544,5,10
1159,545,17,3
1160,546,9,7
1161,546,17,1
1162,546,7,2
1163,547,12,5
1164,547,2,8
1165,547,9,5
1166,547,4,6
1167,548,6,6
1168,549,3,9
1169,549,15,5
1170,550,18,5
1171,550,1,1
1172,550,16,5
1173,551,14,3
1174,551,14,4
1175,552,5,7
1176,552,9,1
1177,552,12,9
1178,552,2,10
1179,553,18,4
1180,553,4,10
1181,554,13,7
1182,554,18,10
1183,554,6,8
1184,555,14,9
1185,556,17,4
1186,556,13,4
1187,556,13,6
1188,557,8,10
1189,558,14,1
1190,559,11,5
1191,559,18,8
1192,560,9,4
1193,560,11,8
1194,560,18,9
1195,561,5,6
1196,562,5,3
1197,563,7,3
1198,563,17,6
1199,564,10,3
1200,564,3,6
1201,564,2,3
1202,564,13,5
1203,565,1,9
1204,565,13,1
1205,565,4,8
1206,565,1,10
1207,566,12,4
1208,567,9,3
1209,567,6,10
1210,567,8,1
1211,568,10,7
1212,569,11,9
1213,570,1,7
1214,571,11,10
1215,571,17,2
1216,571,11,3
1217,572,9,6
1218,572,3,4
1219,572,2,5
1220,572,3,5
1221,573,4,3
1222,574,11,7
1223,574,14,6
1224,575,18,7
1225,575,14,7
1226,576,13,3
1227,576,9,5
1228,577,17,3
1229,577,1,8
1230,577,15,6
1231,578,14,9
1232,578,18,8
1233,579,4,9
1234,579,6,1
1235,580,1,5
1236,580,12,9
1237,581,11,6
1238,582,8,2
1239,582,10,6
1240,582,6,6
1241,583,1,7
1242,583,13,5
1243,584,15,7
1244,585,8,7
1245,585,5,2
1246,586,2,7
1247,586,7,8
1248,586,4,8
1249,586,9,4
1250,587,1,6
1251,587,8,8
1252,587,3,2
1253,588,4,6
1254,588,2,3
1255,589,9,6
1256,590,7,3
1257,591,6,4
1258,591,11,7
1259,591,11,8
1260,591,13,7
1261,592,14,6
1262,593,11,10
1263,594,5,8
1264,594,12,2
1265,594,7,10
1266,594,5,7
1267,595,4,3
1268,596,10,2
1269,596,6,7
1270,597,16,6
1271,597,18,1
1272,598,18,5
1273,598,3,1
1274,598,12,8
1275,599,8,9
1276,600,9,1
1277,600,1,3
1278,600,8,10
1279,600,6,5
1280,601,11,9
1281,602,17,9
1282,603,4,10
1283,604,10,8
1284,604,5,3
1285,605,12,3
1286,605,15,9
1287,606,2,1
1288,606,2,6
1289,607,2,4
1290,608,2,10
1291,608,9,3
1292,609,10,4
1293,609,12,6
1294,610,17,4
1295,611,3,7
1296,611,10,5
1297,611,8,5
1298,611,4,1
1299,612,3,6
1300,613,12,6
1301,613,12,8
1302,613,13,5
1303,613,1,9
1304,614,12,3
1305,614,17,3
1306,614,5,5
1307,614,11,1
1308,615,8,2
1309,615,3,9
1310,616,3,2
1311,617,8,6
1312,617,9,4
1313,617,5,6
1314,617,17,1
1315,618,6,3
1316,618,13,7
1317,618,4,9
1318,619,1,6
1319,619,6,2
1320,620,6,5
1321,621,15,3
1322,622,15,7
1323,622,6,6
1324,622,7,5
1325,623,9,1
1326,623,18,8
1327,623,16,9
1328,624,9,6
1329,624,16,6
1330,625,11,8
1331,625,10,3
1332,626,14,10
1333,626,11,3
1334,626,13,10
1335,627,13,2
1336,628,17,9
1337,629,18,3
1338,629,16,1
1339,630,17,5
1340,631,9,3
1341,632,14,8
1342,633,9,8
1343,633,1,4
1344,633,18,6
1345,634,7,6
1346,634,11,5
1347,634,8,1
1348,634,4,1
1349,635,14,2
1350,636,9,5
1351,637,4,4
1352,638,4,6
1353,638,10,1
1354,638,16,7
1355,638,13,9
1356,639,5,1
1357,639,9,7
1358,639,18,10
1359,639,12,10
1360,640,10,9
1361,640,10,5
1362,640,18,1
1363,640,12,9
1364,641,3,7
1365,641,2,3
1366,641,13,4
1367,641,3,6
1368,642,17,6
1369,643,17,8
1370,644,11,4
1371,644,5,10
1372,645,4,2
1373,645,2,6
1374,646,10,8
1375,646,14,1
1376,646,4,3
1377,646,12,7
1378,647,11,10
1379,648,7,1
1380,648,14,5
1381,649,1,10
1382,649,6,1
1383,649,11,7
1384,649,1,8
1385,650,2,9
1386,650,2,1
1387,650,5,3
1388,651,1,5
1389,652,16,4
1390,652,5,8
1391,652,15,2
1392,652,18,2
1393,653,6,4
1394,653,5,4
1395,653,3,8
1396,654,15,5
1397,654,15,6
1398,655,18,7
1399,655,2,2
1400,655,3,10
1401,656,16,5
1402,656,18,5
1403,656,16,2
1404,657,10,2
1405,657,2,7
1406,657,17,4
1407,657,4,7
1408,658,2,4
1409,658,3,4
1410,658,12,5
1411,658,14,6
1412,659,11,1
1413,660,9,9
1414,661,5,6
1415,661,12,5
1416,662,3,2
1417,662,8,9
1418,662,9,8
1419,662,12,8
1420,663,3,5
1421,664,2,4
1422,664,7,3
1423,664,1,3
1424,664,3,3
1425,665,10,8
1426,666,1,4
1427,666,4,5
1428,666,10,7
1429,666,6,5
1430,667,10,1
1431,667,2,5
1432,667,11,8
1433,667,6,10
1434,668,6,7
1435,669,1,10
1436,670,1,1
1437,670,5,7
1438,670,12,1
1439,670,6,3
1440,671,7,7
1441,671,8,6
1442,672,8,5
1443,672,3,4
1444,673,8,2
1445,674,3,7
1446,675,11,10
1447,676,11,9
1448,677,10,1
1449,677,7,6
1450,678,1,10
1451,678,10,2
1452,678,1,5
1453,679,12,5
1454,679,11,6
1455,680,10,8
1456,681,10,7
1457,681,4,8
1458,681,9,2
1459,682,9,3
1460,683,12,3
1461,683,3,8
1462,683,5,2
1463,684,8,7
1464,684,5,10
1465,685,5,6
1466,685,1,3
1467,686,5,7
1468,686,1,7
1469,687,3,2
1470,687,4,5
1471,687,3,9
1472,687,4,4
1473,688,1,1
1474,689,11,4
1475,690,7,4
1476,690,5,8
1477,690,1,8
1478,691,2,3
1479,691,2,1
1480,692,11,1
1481,692,11,8
1482,692,4,2
1483,692,7,5
1484,693,7,2
1485,693,8,6
1486,693,6,10
1487,693,6,2
1488,694,4,3
1489,694,7,3
1490,695,11,7
1491,696,5,5
1492,696,1,6
1493,697,3,3
1494,698,7,6
1495,699,8,3
1496,699,1,2
1497,699,10,1
1498,699,6,8
1499,700,1,3
1500,700,2,3
1501,701,3,5
1502,701,5,10
1503,702,5,6
1504,703,12,3
1505,703,11,7
1506,704,9,9
1507,704,3,9
1508,704,7,4
1509,704,11,5
1510,705,6,1
1511,705,11,1
1512,705,12,4
1513,705,2,5
1514,706,3,10
1515,707,7,8
1516,708,11,10
1517,708,7,9
1518,708,1,10
1519,708,4,5
1520,709,12,7
1521,709,2,10
1522,710,5,4
1523,710,3,6
1524,711,2,6
1525,711,4,3
1526,712,11,9
1527,712,7,2
1528,713,11,6
1529,713,6,2
1530,714,2,7
1531,715,9,3
1532,715,7,10
1533,715,12,10
1534,716,10,5
1535,716,11,8
1536,716,7,3
1537,717,1,6
1538,718,12,8
1539,719,5,1
1540,719,9,2
1541,719,9,7
1542,720,1,4
1543,720,4,10
1544,720,12,5
1545,721,8,7
1546,722,7,2
1547,722,12,5
1548,722,7,8
1549,723,7,4
1550,724,6,4
1551,725,6,9
1552,725,3,4
1553,726,6,1
1554,727,2,8
1555,727,7,3
1556,727,8,9
1557,727,5,9
1558,728,9,10
1559,728,4,4
1560,728,12,2
1561,729,1,1
1562,729,12,10
1563,730,8,6
1564,731,10,3
1565,731,2,1
1566,732,5,7
1567,733,6,6
1568,734,11,8
1569,734,6,8
1570,734,5,10
1571,735,9,8
1572,736,6,10
1573,736,1,5
1574,736,1,8
1575,736,4,3
1576,737,10,1
1577,737,4,1
1578,738,10,2
1579,738,5,8
1580,738,6,5
1581,739,7,5
1582,740,3,6
1583,740,2,1
1584,740,1,7
1585,740,8,8
1586,741,9,3
1587,741,2,3
1588,741,9,6
1589,742,9,10
1590,743,4,8
1591,743,1,3
1592,743,4,5
1593,743,7,5
1594,744,8,7
1595,745,6,8
1596,745,3,2
1597,745,7,6
1598,745,7,9
1599,746,3,1
1600,746,6,9
1601,747,4,4
1602,747,9,5
1603,748,8,1
1604,748,2,4
1605,749,9,2
1606,749,7,4
1607,750,9,9
1608,750,1,8
1609,751,3,4
1610,751,8,10
1611,751,2,6
1612,752,2,9
1613,753,7,2
1614,754,5,4
1615,755,6,5
1616,755,9,8
1617,756,8,3
1618,756,8,5
1619,756,3,9
1620,756,4,6
1621,757,6,7
1622,757,4,3
1623,757,5,8
1624,758,2,2
1625,758,4,10
1626,759,7,7
1627,760,7,3
1628,761,1,9
1629,761,1,10
1630,762,3,4
1631,762,7,5
1632,763,8,9
1633,764,6,9
1634,764,2,4
1635,765,1,8
1636,765,2,1
1637,766,2,8
1638,767,4,9
1639,767,8,8
1640,768,8,7
1641,769,7,7
1642,769,8,5
1643,770,4,2
1644,770,8,3
1645,770,3,8
1646,770,3,5
1647,771,1,4
1648,771,6,10
1649,772,3,6
1650,773,8,1
1651,774,2,8
1652,774,7,6
1653,774,1,7
1654,774,9,4
1655,775,4,6
1656,775,5,3
1657,775,2,9
1658,776,7,7
1659,777,4,3
1660,777,5,1
1661,778,6,5
1662,778,6,3
